"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2015,1,"AA","American Airlines Inc.","FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",314.00,68.00,26.79,4.94,11.34,0.00,24.93,2.00,0.00,3417.00,1421.00,176.00,462.00,0.00,1358.00,
2015,1,"AA","American Airlines Inc.","IND","Indianapolis, IN: Indianapolis International",157.00,44.00,20.06,0.35,7.69,0.00,15.89,4.00,0.00,2044.00,853.00,11.00,191.00,0.00,989.00,
2015,1,"AA","American Airlines Inc.","OKC","Oklahoma City, OK: Will Rogers World",177.00,42.00,23.71,0.10,5.16,0.00,13.03,2.00,0.00,2069.00,972.00,3.00,141.00,0.00,953.00,
2015,1,"AA","American Airlines Inc.","PIT","Pittsburgh, PA: Pittsburgh International",111.00,29.00,11.33,0.50,7.40,0.00,9.77,1.00,0.00,1115.00,475.00,9.00,205.00,0.00,426.00,
2015,1,"AA","American Airlines Inc.","ABQ","Albuquerque, NM: Albuquerque International Sunport",124.00,28.00,13.52,0.43,3.50,0.00,10.55,1.00,0.00,1084.00,608.00,14.00,77.00,0.00,385.00,
2015,1,"AA","American Airlines Inc.","RNO","Reno, NV: Reno/Tahoe International",92.00,23.00,8.41,1.19,0.62,1.00,11.77,1.00,0.00,1345.00,430.00,103.00,26.00,18.00,768.00,
2015,1,"AA","American Airlines Inc.","ELP","El Paso, TX: El Paso International",115.00,34.00,17.58,0.25,2.03,0.00,14.15,0.00,2.00,2120.00,843.00,22.00,86.00,0.00,1169.00,
2015,1,"AA","American Airlines Inc.","CMH","Columbus, OH: Port Columbus International",128.00,29.00,9.50,0.23,6.55,0.00,12.72,4.00,1.00,1652.00,551.00,15.00,230.00,0.00,856.00,
2015,1,"AA","American Airlines Inc.","SMF","Sacramento, CA: Sacramento International",113.00,19.00,8.92,0.00,1.27,0.00,8.81,0.00,1.00,798.00,380.00,0.00,45.00,0.00,373.00,
2015,1,"AA","American Airlines Inc.","PSP","Palm Springs, CA: Palm Springs International",119.00,24.00,10.22,1.13,4.73,0.00,7.93,1.00,1.00,936.00,409.00,22.00,118.00,0.00,387.00,
2015,1,"AA","American Airlines Inc.","DAY","Dayton, OH: James M Cox/Dayton International",89.00,24.00,12.12,0.00,4.84,0.00,7.04,2.00,0.00,1197.00,503.00,0.00,184.00,0.00,510.00,
2015,1,"AA","American Airlines Inc.","MEM","Memphis, TN: Memphis International",76.00,14.00,8.04,1.00,1.42,0.00,3.54,2.00,0.00,922.00,641.00,25.00,39.00,0.00,217.00,
2015,1,"AA","American Airlines Inc.","MSP","Minneapolis, MN: Minneapolis-St Paul International",353.00,92.00,37.65,3.24,14.22,0.00,36.89,4.00,0.00,5905.00,2157.00,339.00,721.00,0.00,2688.00,
2015,1,"AA","American Airlines Inc.","GUC","Gunnison, CO: Gunnison-Crested Butte Regional",31.00,12.00,10.19,0.00,1.81,0.00,0.00,0.00,0.00,403.00,361.00,0.00,42.00,0.00,0.00,
2015,1,"AA","American Airlines Inc.","SDF","Louisville, KY: Louisville International-Standiford Field",27.00,5.00,4.72,0.00,0.28,0.00,0.00,1.00,0.00,204.00,189.00,0.00,15.00,0.00,0.00,
2015,1,"AA","American Airlines Inc.","BHM","Birmingham, AL: Birmingham-Shuttlesworth International",58.00,13.00,2.40,0.10,2.07,0.00,8.43,0.00,0.00,506.00,117.00,3.00,57.00,0.00,329.00,
2015,1,"AA","American Airlines Inc.","ICT","Wichita, KS: Wichita Dwight D Eisenhower National",62.00,11.00,4.36,0.12,0.84,0.00,5.68,2.00,0.00,677.00,200.00,16.00,46.00,0.00,415.00,
2015,1,"AA","American Airlines Inc.","EGE","Eagle, CO: Eagle County Regional",200.00,47.00,17.65,2.81,12.05,0.00,14.49,5.00,1.00,3621.00,1723.00,248.00,456.00,0.00,1194.00,
2015,1,"AA","American Airlines Inc.","DSM","Des Moines, IA: Des Moines International",58.00,15.00,4.58,0.15,2.57,0.00,7.70,2.00,0.00,665.00,135.00,3.00,49.00,0.00,478.00,
2015,1,"AA","American Airlines Inc.","FAT","Fresno, CA: Fresno Yosemite International",50.00,9.00,3.64,0.00,0.39,0.00,4.96,0.00,0.00,452.00,129.00,0.00,27.00,0.00,296.00,
2015,1,"AA","American Airlines Inc.","OMA","Omaha, NE: Eppley Airfield",147.00,26.00,10.58,0.45,1.90,0.00,13.06,3.00,1.00,1042.00,410.00,13.00,59.00,0.00,560.00,
2015,1,"AA","American Airlines Inc.","STX","Christiansted, VI: Henry E. Rohlsen",50.00,7.00,4.51,0.00,0.55,0.00,1.94,0.00,0.00,477.00,201.00,0.00,12.00,0.00,264.00,
2015,1,"AA","American Airlines Inc.","LIT","Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",9.00,7.00,4.15,0.27,0.75,0.00,1.83,1.00,0.00,338.00,187.00,10.00,31.00,0.00,110.00,
2015,1,"AA","American Airlines Inc.","RIC","Richmond, VA: Richmond International",63.00,13.00,4.95,0.07,1.55,0.00,6.42,1.00,0.00,618.00,195.00,4.00,31.00,0.00,388.00,
2015,1,"AA","American Airlines Inc.","MTJ","Montrose/Delta, CO: Montrose Regional",5.00,3.00,1.43,0.00,0.43,0.00,1.14,0.00,0.00,145.00,63.00,0.00,21.00,0.00,61.00,
2015,1,"AS","Alaska Airlines Inc.","DCA","Washington, DC: Ronald Reagan Washington National",120.00,23.00,4.96,0.00,13.04,0.00,5.00,0.00,0.00,690.00,142.00,0.00,342.00,0.00,206.00,
2015,1,"AS","Alaska Airlines Inc.","SEA","Seattle, WA: Seattle/Tacoma International",4058.00,603.00,109.99,27.78,237.25,0.10,227.88,21.00,5.00,31053.00,6173.00,2789.00,7562.00,2.00,14527.00,
2015,1,"AS","Alaska Airlines Inc.","LAX","Los Angeles, CA: Los Angeles International",592.00,85.00,30.22,1.78,32.75,0.00,20.25,1.00,1.00,3712.00,1438.00,342.00,862.00,0.00,1070.00,
2015,1,"AS","Alaska Airlines Inc.","EWR","Newark, NJ: Newark Liberty International",58.00,16.00,4.54,0.00,6.69,0.00,4.76,2.00,0.00,582.00,155.00,0.00,237.00,0.00,190.00,
2015,1,"AS","Alaska Airlines Inc.","BOS","Boston, MA: Logan International",108.00,16.00,6.79,0.74,7.52,0.00,0.94,3.00,1.00,1180.00,718.00,106.00,307.00,0.00,49.00,
2015,1,"AS","Alaska Airlines Inc.","MCO","Orlando, FL: Orlando International",64.00,9.00,2.74,0.09,5.60,0.00,0.57,0.00,0.00,299.00,75.00,7.00,174.00,0.00,43.00,
2015,1,"AS","Alaska Airlines Inc.","ORD","Chicago, IL: Chicago O'Hare International",98.00,16.00,4.97,0.00,10.07,0.00,0.96,0.00,0.00,723.00,306.00,0.00,310.00,0.00,107.00,
2015,1,"AS","Alaska Airlines Inc.","PHL","Philadelphia, PA: Philadelphia International",31.00,13.00,4.11,0.00,8.89,0.00,0.00,0.00,0.00,627.00,162.00,0.00,465.00,0.00,0.00,
2015,1,"AS","Alaska Airlines Inc.","PDX","Portland, OR: Portland International",1132.00,120.00,26.88,7.77,31.63,0.00,53.72,3.00,1.00,7930.00,2015.00,655.00,1143.00,0.00,4117.00,
2015,1,"AS","Alaska Airlines Inc.","FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",31.00,4.00,1.94,1.00,1.06,0.00,0.00,0.00,0.00,107.00,73.00,16.00,18.00,0.00,0.00,
2015,1,"AS","Alaska Airlines Inc.","MSP","Minneapolis, MN: Minneapolis-St Paul International",34.00,5.00,3.85,0.00,1.15,0.00,0.00,0.00,0.00,263.00,240.00,0.00,23.00,0.00,0.00,
2015,1,"AS","Alaska Airlines Inc.","ANC","Anchorage, AK: Ted Stevens Anchorage International",1000.00,117.00,38.48,3.94,29.08,3.57,41.93,13.00,0.00,6488.00,2252.00,526.00,896.00,94.00,2720.00,
2015,1,"AS","Alaska Airlines Inc.","BET","Bethel, AK: Bethel Airport",82.00,6.00,1.73,2.79,1.48,0.00,0.00,2.00,0.00,378.00,105.00,240.00,33.00,0.00,0.00,
2015,1,"AS","Alaska Airlines Inc.","BRW","Barrow, AK: Wiley Post/Will Rogers Memorial",80.00,17.00,3.60,2.05,2.17,0.00,9.18,2.00,0.00,1097.00,331.00,63.00,76.00,0.00,627.00,
2015,1,"AS","Alaska Airlines Inc.","SCC","Deadhorse, AK: Deadhorse Airport",80.00,9.00,1.99,0.00,3.16,0.00,3.85,0.00,4.00,309.00,63.00,0.00,75.00,0.00,171.00,
2015,1,"AS","Alaska Airlines Inc.","FAI","Fairbanks, AK: Fairbanks International",155.00,21.00,7.15,1.84,3.01,0.00,9.00,0.00,0.00,1160.00,269.00,48.00,93.00,0.00,750.00,
